Question,Answer
Где прикрепиться к военкомату?,"Если вы житель Москвы, то вам нужно лишь принести в военкомат справку об обучении в ВУЗе. Если вы иногородний студент, вам будет необходимо прикрепиться к военкомату НИУЯ МИФИ и так же предоставить им справку об обучении в ВУЗе."
Надо ли прикрепиться к военкомату?,"Если вы житель Москвы, то вам нужно лишь принести в военкомат справку об обучении в ВУЗе. Если вы иногородний студент, вам будет необходимо прикрепиться к военкомату НИЯУ МИФИ и так же предоставить им справку об обучении в ВУЗе."
Где посмотреть расписание?,На портале https://home.mephi.ru в разделе расписание.
Где получить справку для физкультуры?,"В МИФИ имеется свой медкабинет, расположенный в корпусе физкультуры. Необходимо прийти туда со справкой У-86."
Где прикрепиться к общежитию?,"По адресу Москворечье 2к1 расположена бухгалтерия, вам будет необходимо прийти туда с необходимым набором документов(паспорт)."
Где платить за общежитие?,"По адресу Москворечье 2к1 вам выдадут квитанцию, оплату производить напротив студофиса в офисе ипб банка."
Где получать студенческий билет?,"В деканате, который расположен на 3 этаже главного корпуса."
Где получать зачетную книжку?,"В деканате, который расположен на 3 этаже главного корпуса."
Где оплатить общежитие?,"По адресу Москворечье 2к1 вам выдадут квитанцию, оплату производить напротив студофиса в офисе ипб банка."
Что такое home.mephi?,"https://home.mephi.ru сайт для студентов НИЯУ МИФИ со сведениями о расписании, преподавателях и т.д."
Где получать стипендию?,Стипендия раз в месяц будет зачислена вам на карту ипб банка.
Где находится деканат?,На 3 этаже главного корпуса.
Где получать пропуск?,"На первое время вам должны были выдать временный пропуск, в дальнейшем ваши кураторы группой вас отведут в студенческий офис для регистрации пропуска."
Где посмотреть карту мифи?,https://old.mephi.ru/students/mephimap.jpg
Карта мифи,https://old.mephi.ru/students/mephimap.jpg
Как подключиться к дистанционным лекциям?,На портале https://home.mephi.ru в разделе расписание в дистанционные дни прикреплены ссылки на платформы проведения лекций.
Где найти дистанционные лекции?,На портале https://home.mephi.ru в разделе расписание в дистанционные дни прикреплены ссылки на платформы проведения лекций.
